explanations,datasets,attributed_fns,methods,reversed,Value
lime,npi,logit,baseline,original,[0.00020537 0.00049034 0.0001439 ]
lime,npi,logit,baseline,original,[ 0.00018418 -0.00013109  0.00034748]
lime,npi,logit,baseline,original,"[-3.5976982e-04 -1.1974116e-04 -7.8493831e-05  1.5680722e-04
 -9.6680058e-05]"
lime,npi,logit,baseline,original,[-2.5310867e-06  2.3041668e-04 -2.9852532e-04]
lime,npi,logit,baseline,original,[-2.2454828e-05  5.1967520e-04 -1.3879314e-04]
lime,npi,logit,baseline,original,[-4.1070220e-05 -3.7219754e-05  2.9630995e-05 -1.8322194e-04]
lime,npi,logit,baseline,original,[ 2.6662232e-04  5.1309766e-05 -3.2508469e-05 -3.5180064e-04]
lime,npi,logit,baseline,original,[ 9.7648684e-05 -7.1312432e-05]
lime,npi,logit,baseline,original,"[-7.6030497e-05 -1.5987772e-04 -2.1742150e-04 -2.0615535e-04
 -3.9904178e-05]"
lime,npi,logit,baseline,original,[-0.00014965 -0.00070165]
lime,npi,logit,baseline,original,[ 1.0644784e-04  4.1541411e-05 -2.0367908e-04]
lime,npi,logit,baseline,original,"[ 3.5000450e-04  1.3674235e-04  1.8457616e-04 -8.0728780e-05
 -4.6718589e-04]"
lime,npi,logit,baseline,original,[1.8991530e-05 3.6293827e-04 1.2945384e-05]
lime,npi,logit,baseline,original,"[ 3.8205082e-05  1.6652881e-04 -1.2758456e-04 -1.6503748e-04
 -3.8054649e-04]"
lime,npi,logit,baseline,original,[-1.7215640e-04  2.9323398e-04  5.4434140e-06]
lime,npi,logit,baseline,original,[ 0.00012835 -0.00013729  0.00032872 -0.00028113]
lime,npi,logit,baseline,original,[ 8.2974133e-05 -5.1230560e-05 -1.2561507e-04 -5.6480448e-04]
lime,npi,logit,baseline,original,[-1.7449672e-04  2.7314996e-04 -2.8738685e-05]
lime,npi,logit,baseline,original,[ 2.91308388e-05 -1.19087985e-04  1.30257336e-04]
lime,npi,logit,baseline,original,[ 0.00021833 -0.0001316   0.0002065  -0.0004463 ]
lime,npi,logit,baseline,original,[ 1.0335267e-06 -1.8676455e-04]
lime,npi,logit,baseline,original,[ 0.00015663 -0.00023521  0.00028652 -0.00029318]
lime,npi,logit,baseline,original,[-0.00011794 -0.00014056 -0.00029495]
lime,npi,logit,baseline,original,[ 5.3225103e-05 -1.6202609e-04]
lime,npi,logit,baseline,original,[-0.00011537  0.00052762  0.00046292]
lime,npi,logit,baseline,original,[-3.860332e-05  5.200956e-04 -1.057818e-04]
lime,npi,logit,baseline,original,[ 3.2423341e-05  1.9441021e-04 -2.5218629e-04 -7.0242153e-04]
lime,npi,logit,baseline,original,[ 2.6049092e-06 -1.9277143e-04  1.4698971e-04]
lime,npi,logit,baseline,original,[-0.00012393 -0.00021132]
lime,npi,logit,baseline,original,[-1.1990010e-04 -7.4649230e-05  1.2581912e-04]
lime,npi,logit,baseline,original,[-7.1387622e-05  1.9288389e-05 -7.0068915e-04]
lime,npi,logit,baseline,original,[-1.2822392e-04 -4.2064639e-05  4.1970267e-04  5.0964986e-04]
lime,npi,logit,baseline,original,[1.1134893e-05 3.8394611e-04 2.0907260e-05]
lime,npi,logit,baseline,original,[ 0.00025425  0.00026407 -0.00021583]
lime,npi,logit,baseline,original,[-8.3692285e-05 -2.5166996e-04]
lime,npi,logit,baseline,original,"[-9.7315627e-05  9.3529874e-05  3.5468495e-04  5.8951697e-05
 -1.8473915e-04]"
lime,npi,logit,baseline,original,[6.9741996e-05 2.8823342e-04 5.8215690e-05]
lime,npi,logit,baseline,original,[-5.6532194e-06  3.6966364e-04 -7.1110975e-05]
lime,npi,logit,baseline,original,[-2.4772904e-05 -1.3228178e-06 -3.5028838e-04]
