explanations,datasets,attributed_fns,methods,reversed,Value
occlusion,npi,logit,baseline,original,[ 9.888794 34.986908 19.334938]
occlusion,npi,logit,contrastive,original,[0.43026733 2.2475433  0.32478333]
occlusion,npi,logit,contrastive,reversed,[-0.43026733 -2.2475433  -0.32478333]
occlusion,npi,logit,baseline,original,[ 3.7079468 18.98645   27.875107 ]
occlusion,npi,logit,contrastive,original,[0.12097931 0.20238495 0.16869354]
occlusion,npi,logit,contrastive,reversed,[-0.12097931 -0.20238495 -0.16869354]
occlusion,npi,logit,baseline,original,[ 0.02204132 10.849945   17.711273   19.815804    4.695816  ]
occlusion,npi,logit,contrastive,original,[0.50331116 2.5041428  0.04701996 0.14035034 0.7322922 ]
occlusion,npi,logit,contrastive,reversed,[-0.50331116 -2.5041428  -0.04701996 -0.14035034 -0.7322922 ]
occlusion,npi,logit,baseline,original,[23.590218 32.625298 13.042137]
occlusion,npi,logit,contrastive,original,[1.3041382 0.8224106 0.8572769]
occlusion,npi,logit,contrastive,reversed,[-1.3041382 -0.8224106 -0.8572769]
occlusion,npi,logit,baseline,original,[ 3.8761215 29.346985  11.970184 ]
occlusion,npi,logit,contrastive,original,[0.71492004 0.68518066 0.70503235]
occlusion,npi,logit,contrastive,reversed,[-0.71492004 -0.68518066 -0.70503235]
occlusion,npi,logit,baseline,original,[ 3.5429382  1.6106567 11.646439   3.11454  ]
occlusion,npi,logit,contrastive,original,[1.3870544 0.6066437 0.5558853 1.7404327]
occlusion,npi,logit,contrastive,reversed,[-1.3870544 -0.6066437 -0.5558853 -1.7404327]
occlusion,npi,logit,baseline,original,[10.1712265 12.9234085 24.16803    0.5183716]
occlusion,npi,logit,contrastive,original,[0.8072128  0.88996124 2.8197174  0.2373581 ]
occlusion,npi,logit,contrastive,reversed,[-0.8072128  -0.88996124 -2.8197174  -0.2373581 ]
occlusion,npi,logit,baseline,original,[ 7.642914 12.99585 ]
occlusion,npi,logit,contrastive,original,[0.09958649 0.47747803]
occlusion,npi,logit,contrastive,reversed,[-0.09958649 -0.47747803]
occlusion,npi,logit,baseline,original,[3.5860367 7.8660355 4.5505753 2.3350525 2.894043 ]
occlusion,npi,logit,contrastive,original,[0.29616547 0.10951996 0.42412567 1.6690674  1.1466446 ]
occlusion,npi,logit,contrastive,reversed,[-0.29616547 -0.10951996 -0.42412567 -1.6690674  -1.1466446 ]
occlusion,npi,logit,baseline,original,[ 3.235592 47.16084 ]
occlusion,npi,logit,contrastive,original,[0.5204506 1.4197884]
occlusion,npi,logit,contrastive,reversed,[-0.5204506 -1.4197884]
occlusion,npi,logit,baseline,original,[ 0.26972198 14.593269    2.0528793 ]
occlusion,npi,logit,contrastive,original,[1.2338486 1.4302292 2.0771866]
occlusion,npi,logit,contrastive,reversed,[-1.2338486 -1.4302292 -2.0771866]
occlusion,npi,logit,baseline,original,[27.404793  42.384678  50.38004   52.421864   7.0096893]
occlusion,npi,logit,contrastive,original,[2.1206741 2.265831  3.4786873 4.7378273 3.7432404]
occlusion,npi,logit,contrastive,reversed,[-2.1206741 -2.265831  -3.4786873 -4.7378273 -3.7432404]
occlusion,npi,logit,baseline,original,[ 4.968231 26.907028  8.275604]
occlusion,npi,logit,contrastive,original,[1.3302155  0.36489868 0.5775299 ]
occlusion,npi,logit,contrastive,reversed,[-1.3302155  -0.36489868 -0.5775299 ]
occlusion,npi,logit,baseline,original,[ 8.909615 14.526283 16.763756 16.507599  4.648361]
occlusion,npi,logit,contrastive,original,[0.7337036 1.6082916 2.437271  1.0404663 2.136856 ]
occlusion,npi,logit,contrastive,reversed,[-0.7337036 -1.6082916 -2.437271  -1.0404663 -2.136856 ]
occlusion,npi,logit,baseline,original,[12.44648  39.114426 13.014854]
occlusion,npi,logit,contrastive,original,[0.8868027 1.0496292 1.4256516]
occlusion,npi,logit,contrastive,reversed,[-0.8868027 -1.0496292 -1.4256516]
occlusion,npi,logit,baseline,original,[ 3.2713776  0.5792084 58.942486   5.3771133]
occlusion,npi,logit,contrastive,original,[0.0835495  0.92653656 0.7670708  0.50723267]
occlusion,npi,logit,contrastive,reversed,[-0.0835495  -0.92653656 -0.7670708  -0.50723267]
occlusion,npi,logit,baseline,original,[ 6.8522873  2.8483276 17.5634     2.7671661]
occlusion,npi,logit,contrastive,original,[0.4079361  0.99453735 0.09185028 0.8596802 ]
