explanations,datasets,attributed_fns,methods,reversed,Value
deeplift,npi,logit,baseline,original,[ 2.9609725  2.936092  15.959996 ]
deeplift,npi,logit,baseline,original,[ 1.5064714  2.3965123 25.399128 ]
deeplift,npi,logit,baseline,original,[-0.11618134 -1.4707792   3.837279    1.5684496   7.5644326 ]
deeplift,npi,logit,baseline,original,[-5.2906184  2.693749  11.363796 ]
deeplift,npi,logit,baseline,original,[ 2.8682194  -0.03724009 13.91017   ]
deeplift,npi,logit,baseline,original,[ 6.756488  -1.5774112 -3.9594796  8.839344 ]
deeplift,npi,logit,baseline,original,[ 4.574553   1.5414575  4.342288  15.176797 ]
deeplift,npi,logit,baseline,original,[ 0.20113015 35.996593  ]
deeplift,npi,logit,baseline,original,[-0.48386085 -3.3335996  -2.8808737  -0.5992952  19.14578   ]
deeplift,npi,logit,baseline,original,[2.0406659 7.401961 ]
deeplift,npi,logit,baseline,original,[ 3.9608014 -8.1482    32.06406  ]
deeplift,npi,logit,baseline,original,[-9.692875  -4.560606   9.348247   5.2751474 16.630836 ]
deeplift,npi,logit,baseline,original,[ 1.8007181 -8.993096  15.07652  ]
deeplift,npi,logit,baseline,original,[-0.54837453 -6.577314    6.281697   -2.3169138   9.69703   ]
deeplift,npi,logit,baseline,original,[-3.8873725 -7.578506  14.546417 ]
deeplift,npi,logit,baseline,original,[-5.061139    0.23950112  6.818737    5.5697284 ]
deeplift,npi,logit,baseline,original,[ 3.2709434 -3.2007341  4.4240136  9.295757 ]
deeplift,npi,logit,baseline,original,[ 2.998727   1.3578527 10.84642  ]
deeplift,npi,logit,baseline,original,[ 4.2851872 -2.7860243 33.347424 ]
deeplift,npi,logit,baseline,original,[-12.202951   -1.1554129  -2.0941558   9.931949 ]
deeplift,npi,logit,baseline,original,[-0.60637516 18.889149  ]
deeplift,npi,logit,baseline,original,[-0.43932825 -1.1202533   1.0847914  12.143627  ]
deeplift,npi,logit,baseline,original,[-12.737631   -3.9783883  12.754942 ]
deeplift,npi,logit,baseline,original,[-3.672576 34.873947]
deeplift,npi,logit,baseline,original,[-2.0637448  2.6642222 15.623981 ]
deeplift,npi,logit,baseline,original,[ 0.8447578 -4.8087153 13.142484 ]
deeplift,npi,logit,baseline,original,[ 3.683434  -3.9087887 -3.7503767 19.004982 ]
