explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,[89.380226   4.635997   5.0824823 13.0292    18.770039  13.102051 ]
attention,any,logit,baseline,original,"[90.288956   4.1460967  8.165527   9.611493   7.094309  11.955968
 12.737657 ]"
attention,any,logit,baseline,original,"[72.55743    1.7874237  2.058082   2.6061845  2.1755564  3.0693638
  2.551414   3.4313138  3.3853667  2.509591   5.1643763  6.493037
  7.8955317  8.742608   9.942506   9.630213 ]"
attention,any,logit,baseline,original,[104.076485  13.830152  14.467124  11.626239]
attention,any,logit,baseline,original,"[69.16326     0.8629651   0.77506536  3.2237968   1.3547533   0.74108493
  0.80864847  1.3031067   1.7552935   1.600709    1.3656617   2.2927787
  3.010606    3.0420885   3.51462     3.729778    3.8636456   5.7793274
  4.063674    6.957305   13.601865   11.189969  ]"
attention,any,logit,baseline,original,"[81.79389    3.840064   4.2022014  2.9374793  3.6207442  7.136241
  7.7772927 10.825221  11.324807  10.542063 ]"
attention,any,logit,baseline,original,"[74.42648    2.9685583  2.7203238  3.7617688  4.850333   4.9389114
  5.815863   6.5219293  7.628992   9.419689   9.086265  11.860886 ]"
attention,any,logit,baseline,original,[106.19431   12.761648  12.509029  12.535017]
attention,any,logit,baseline,original,"[76.532684   3.33878    8.206312   5.1587806  4.4613147  4.2680216
  8.51166    9.55558   14.4401865  9.526677 ]"
attention,any,logit,baseline,original,[114.170906  18.834332  10.994756]
attention,any,logit,baseline,original,[114.170906  18.834332  10.994756]
attention,any,logit,baseline,original,[114.170906  18.834332  10.994756]
attention,any,logit,baseline,original,[101.48447   11.934838   8.395876  11.753501  10.431321]
attention,any,logit,baseline,original,"[70.53381    1.2418451  1.1763729  1.7143823  1.6000793  1.6007065
  1.5171294  2.368576   1.8285757  2.317068   2.867793   3.7862444
  5.121325   5.127655   9.32354    9.261604  13.033498   9.57979  ]"
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[98.735916   6.6875806 10.920374  16.873964  10.782156 ]
attention,any,logit,baseline,original,"[82.335976   4.3218765  4.4254494  4.798814   8.522238   8.853444
  7.546055  11.039011  12.157133 ]"
attention,any,logit,baseline,original,"[78.92013    2.7328634  2.347107   1.8268701  4.106287   3.540621
  2.1485949  2.9620504  3.747909   9.0562935  8.871655  14.029132
  9.710491 ]"
attention,any,logit,baseline,original,[131.56439   12.435604]
attention,any,logit,baseline,original,[104.470276  13.175823  13.562819  12.791074]
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[90.79014    4.806371   5.2566767 11.8581915 17.205982  14.082651 ]
attention,any,logit,baseline,original,[107.10567   13.379662  12.195518  11.319157]
attention,any,logit,baseline,original,"[82.21674    4.881099   3.79756    3.9392216  7.7586994  7.8045635
  9.5913315 11.952813  12.0579605]"
attention,any,logit,baseline,original,"[84.752464   3.2513185  2.8397582  1.890149   1.3788043  1.680676
  4.5266166  6.1037955  9.942177  16.481813  11.152435 ]"
attention,any,logit,baseline,original,"[79.03453    2.9756396  2.1849763  1.9826784  3.0853293  3.9087648
  3.4288054  2.3073072  1.463701   2.8477647  6.2997622  7.998971
  6.27572    9.569683  10.636375 ]"
attention,any,logit,baseline,original,[95.48036    7.8667817  9.071499   8.282323  10.921639  12.377391 ]
attention,any,logit,baseline,original,"[73.01337     2.870133    1.9641247   1.4724492   1.4454261   0.9368545
  0.57180303  0.98280114  1.2548194   1.7486855   2.6323104   4.458649
  4.2409906   8.100192   10.696607   16.330185   11.280599  ]"
attention,any,logit,baseline,original,"[89.42926    7.7281923  6.9225554  6.644518  12.040604  10.38697
 10.8479   ]"
attention,any,logit,baseline,original,[106.36279   12.701115  11.226883  13.709201]
attention,any,logit,baseline,original,[105.56845   12.047802  15.689053  10.694696]
attention,any,logit,baseline,original,"[78.78518    2.5988212  2.1330824  2.538547   3.4726782  3.22619
  3.4299853  8.343217   9.76267    7.4884887  9.749363  12.471782 ]"
attention,any,logit,baseline,original,[93.76848  10.54305  12.734548 14.143002 12.810935]
attention,any,logit,baseline,original,[96.447296   9.655999   7.9726543  7.3915544 10.035662  12.496847 ]
attention,any,logit,baseline,original,[106.103615  12.995459  13.182353  11.718577]
attention,any,logit,baseline,original,[103.03245   12.757275  14.608662  13.601615]
attention,any,logit,baseline,original,[92.28844   4.829609 10.829269  9.922295 15.155143 10.975253]
attention,any,logit,baseline,original,[96.187675   7.1052866  7.980978  17.956423  14.76964  ]
attention,any,logit,baseline,original,[109.098526  22.617744  12.283727]
attention,any,logit,baseline,original,[103.15122   12.477331  12.797823  15.573625]
attention,any,logit,baseline,original,[106.70896   11.962287  12.686681  12.642071]
attention,any,logit,baseline,original,"[81.56713    2.4449873  2.5551555  3.7670891  3.660768   8.459627
  7.417968   9.397876  14.391609  10.337794 ]"
attention,any,logit,baseline,original,[99.009315 11.655817  9.411707 11.577122 12.346041]
attention,any,logit,baseline,original,"[87.88974    4.405909   6.5693727  8.857995   9.817236  14.517216
 11.942532 ]"
attention,any,logit,baseline,original,[95.36936    6.3997755  7.6368084 18.607695  15.986364 ]
attention,any,logit,baseline,original,[96.63972    8.41328    6.1170845  7.3717947 10.19457   15.263546 ]
attention,any,logit,baseline,original,[95.113785   5.0613194 10.333427   9.96769   11.698948  11.824829 ]
attention,any,logit,baseline,original,[106.574356  12.58877   12.389307  12.447574]
attention,any,logit,baseline,original,"[78.13772    3.646582   3.2299988  3.5740945  3.8494701  5.0364842
 11.052378  10.298369  13.764335  11.410572 ]"
attention,any,logit,baseline,original,[108.053024   11.389476   11.8638935  12.693603 ]
attention,any,logit,baseline,original,[106.565735  12.634327  12.393218  12.40672 ]
attention,any,logit,baseline,original,[96.45038  16.240856 17.310448 13.998311]
attention,any,logit,baseline,original,[106.22363   12.884712  11.776388  13.115257]
attention,any,logit,baseline,original,[91.091545   5.727688   5.692491  11.5247135 17.63787   12.325689 ]
attention,any,logit,baseline,original,[87.94216   4.510445  6.740628  8.958334 10.95264  12.757187 12.138599]
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[92.54246    7.4213495  8.373209   9.924477  14.018648  11.719857 ]
attention,any,logit,baseline,original,[105.56845   12.047802  15.689053  10.694696]
attention,any,logit,baseline,original,"[87.05708    7.1934505  7.329399  10.171574   8.799143  11.564443
 11.884918 ]"
attention,any,logit,baseline,original,"[80.8618     1.6260755  2.7871897  4.9531164  4.508365   7.0210457
 10.646899   8.698454  10.647826  12.249229 ]"
attention,any,logit,baseline,original,[90.06561   9.645526 11.39208   9.735608 11.17931  11.981861]
attention,any,logit,baseline,original,[114.170906  18.834332  10.994756]
attention,any,logit,baseline,original,[91.25711    7.8240743 10.854536  11.224572  10.418055  12.421664 ]
attention,any,logit,baseline,original,[96.79649    8.639959   6.754997   6.8741217 13.116516  11.817916 ]
attention,any,logit,baseline,original,[99.04687  11.155778 10.405172 11.378953 12.013215]
attention,any,logit,baseline,original,[103.334366  10.119663  10.523306  20.022663]
attention,any,logit,baseline,original,[94.09796    8.1958685  8.864913   8.828502  10.58027   13.432485 ]
attention,any,logit,baseline,original,[94.309204  6.772593 11.58639  17.864729 13.467074]
attention,any,logit,baseline,original,[94.97443    6.8405294  6.6594234  7.8261194 15.426601  12.272902 ]
attention,any,logit,baseline,original,[94.95186   8.235203  8.43152  19.724117 12.657301]
attention,any,logit,baseline,original,"[90.26828    3.7650242  7.567866   9.934488   8.477876  11.128622
 12.857849 ]"
attention,any,logit,baseline,original,[93.38994    4.9267435 12.219542   9.458384  11.689579  12.315823 ]
attention,any,logit,baseline,original,"[87.90282    2.8584106  4.662016   6.4954762 10.289783   8.637714
 10.657308  12.496476 ]"
attention,any,logit,baseline,original,[106.81277   12.42827   12.297772  12.461191]
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[92.09675    7.1329956 10.415893   9.845734  11.932422  12.576208 ]
attention,any,logit,baseline,original,[106.79257    11.9753685  12.377409   12.854653 ]
attention,any,logit,baseline,original,[98.46795  16.51525  15.606335 13.41047 ]
attention,any,logit,baseline,original,[102.15869   13.668071  15.0049    13.168332]
attention,any,logit,baseline,original,"[73.382576   1.735614   1.255558   1.1469139  1.0265551  1.3503537
  1.3431352  1.1746188  2.2339685  1.8113207  1.1172452  1.4163005
  1.8073092  2.2547116  2.5827262  3.6556957  7.5709605  8.818923
  8.72604    9.296312  10.293164 ]"
attention,any,logit,baseline,original,[103.87772    12.227718   12.044648   15.8498955]
attention,any,logit,baseline,original,[104.56298   12.358168  14.591343  12.487514]
attention,any,logit,baseline,original,[106.056984  12.159718  12.652068  13.131234]
attention,any,logit,baseline,original,[104.72613   12.625061  12.930095  13.718707]
attention,any,logit,baseline,original,"[93.20388    3.4874148  3.751697   5.6573915  7.4126477  8.02161
 10.5508175 11.914537 ]"
attention,any,logit,baseline,original,[91.270485 12.279458 13.153579 14.015261 13.281204]
attention,any,logit,baseline,original,"[78.17023    1.6342735  1.9158282  2.1110241  2.5524645  2.47411
  2.6096663  3.0360875  4.6153865  3.7922747  5.91067    6.8218455
 17.132961  11.223179 ]"
attention,any,logit,baseline,original,[106.565735  12.634327  12.393218  12.40672 ]
attention,any,logit,baseline,original,[106.70896   11.962287  12.686681  12.642071]
attention,any,logit,baseline,original,[98.771126 11.474532  9.047438 11.85656  12.850339]
attention,any,logit,baseline,original,[92.69433   8.00513   9.402131 10.144713 11.748326 12.00537 ]
attention,any,logit,baseline,original,[101.42288   14.3415    14.693918  13.541705]
attention,any,logit,baseline,original,[94.60877  11.480701 10.784554 15.274063 11.851912]
attention,any,logit,baseline,original,"[85.71956    4.567598   3.8386784  4.466256   3.2877383  3.44132
  8.852385   8.196283   9.673269  11.956922 ]"
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[105.01424    13.60262    13.3355875  12.047559 ]
attention,any,logit,baseline,original,[99.25151   6.806412 12.041915 12.702814 13.197345]
attention,any,logit,baseline,original,[100.98976   13.013573  14.201951  15.794709]
attention,any,logit,baseline,original,"[91.17849    5.9344177  4.047933   5.8449717  8.72717   13.824159
 14.442863 ]"
attention,any,logit,baseline,original,"[78.49838    3.3750134  3.3555074  2.7114017  5.5403495  5.306428
 13.328692   9.193869  10.978774  11.711576 ]"
attention,any,logit,baseline,original,[106.90252   12.063569  12.351753  12.682159]
attention,any,logit,baseline,original,"[84.93853    3.0680852  3.907063   4.668833   5.4700975  7.851736
  9.630614  14.894353   9.570684 ]"
attention,any,logit,baseline,original,"[76.32149    2.4156957  4.5864515  3.5734289  3.337724   3.198262
  3.1339583  4.9041266  8.592975   9.895417  14.54833    9.492138 ]"
attention,any,logit,baseline,original,[96.062965   8.73261    6.5356545  8.604976  12.923076  11.140721 ]
attention,any,logit,baseline,original,"[84.93853    3.0680852  3.907063   4.668833   5.4700975  7.851736
  9.630614  14.894353   9.570684 ]"
attention,any,logit,baseline,original,[106.70896   11.962287  12.686681  12.642071]
attention,any,logit,baseline,original,"[78.42895    1.9073291  1.6364833  2.278465   3.2241008  3.2695394
  6.0019627  5.5199337 10.74087    9.625073  10.192234  11.175064 ]"
attention,any,logit,baseline,original,"[79.1642     1.9572119  2.0530617  3.3194518  2.167673   1.6216173
  1.8657207  1.6811421  2.1634104  2.7035413  4.5830374  8.640322
  9.251961  13.996348   8.831294 ]"
attention,any,logit,baseline,original,[106.27435    12.7779875  12.270113   12.677533 ]
attention,any,logit,baseline,original,"[85.863754   4.226557   4.3711967  7.647525   9.09187    8.964594
 11.86387   11.970621 ]"
