explanations,datasets,attributed_fns,methods,reversed,Value
attention,any,logit,baseline,original,[89.380226   4.635997   5.0824823 13.0292    18.770039  13.102051 ]
attention,any,logit,baseline,original,"[69.16326     0.8629651   0.77506536  3.2237968   1.3547533   0.74108493
  0.80864847  1.3031067   1.7552935   1.600709    1.3656617   2.2927787
  3.010606    3.0420885   3.51462     3.729778    3.8636456   5.7793274
  4.063674    6.957305   13.601865   11.189969  ]"
attention,any,logit,baseline,original,"[76.532684   3.33878    8.206312   5.1587806  4.4613147  4.2680216
  8.51166    9.55558   14.4401865  9.526677 ]"
attention,any,logit,baseline,original,[114.170906  18.834332  10.994756]
attention,any,logit,baseline,original,[101.48447   11.934838   8.395876  11.753501  10.431321]
attention,any,logit,baseline,original,"[70.53381    1.2418451  1.1763729  1.7143823  1.6000793  1.6007065
  1.5171294  2.368576   1.8285757  2.317068   2.867793   3.7862444
  5.121325   5.127655   9.32354    9.261604  13.033498   9.57979  ]"
attention,any,logit,baseline,original,[114.38285   18.730715  10.886441]
attention,any,logit,baseline,original,[98.735916   6.6875806 10.920374  16.873964  10.782156 ]
attention,any,logit,baseline,original,"[78.92013    2.7328634  2.347107   1.8268701  4.106287   3.540621
  2.1485949  2.9620504  3.747909   9.0562935  8.871655  14.029132
  9.710491 ]"
attention,any,logit,baseline,original,[131.56439   12.435604]
attention,any,logit,baseline,original,[90.79014    4.806371   5.2566767 11.8581915 17.205982  14.082651 ]
attention,any,logit,baseline,original,"[84.752464   3.2513185  2.8397582  1.890149   1.3788043  1.680676
  4.5266166  6.1037955  9.942177  16.481813  11.152435 ]"
attention,any,logit,baseline,original,"[73.01337     2.870133    1.9641247   1.4724492   1.4454261   0.9368545
  0.57180303  0.98280114  1.2548194   1.7486855   2.6323104   4.458649
  4.2409906   8.100192   10.696607   16.330185   11.280599  ]"
attention,any,logit,baseline,original,"[89.42926    7.7281923  6.9225554  6.644518  12.040604  10.38697
 10.8479   ]"
attention,any,logit,baseline,original,[105.56845   12.047802  15.689053  10.694696]
attention,any,logit,baseline,original,[92.28844   4.829609 10.829269  9.922295 15.155143 10.975253]
attention,any,logit,baseline,original,[96.187675   7.1052866  7.980978  17.956423  14.76964  ]
attention,any,logit,baseline,original,[109.098526  22.617744  12.283727]
attention,any,logit,baseline,original,"[81.56713    2.4449873  2.5551555  3.7670891  3.660768   8.459627
  7.417968   9.397876  14.391609  10.337794 ]"
attention,any,logit,baseline,original,[95.36936    6.3997755  7.6368084 18.607695  15.986364 ]
attention,any,logit,baseline,original,[91.091545   5.727688   5.692491  11.5247135 17.63787   12.325689 ]
attention,any,logit,baseline,original,[96.79649    8.639959   6.754997   6.8741217 13.116516  11.817916 ]
attention,any,logit,baseline,original,[94.309204  6.772593 11.58639  17.864729 13.467074]
attention,any,logit,baseline,original,[94.97443    6.8405294  6.6594234  7.8261194 15.426601  12.272902 ]
attention,any,logit,baseline,original,[94.95186   8.235203  8.43152  19.724117 12.657301]
attention,any,logit,baseline,original,"[78.17023    1.6342735  1.9158282  2.1110241  2.5524645  2.47411
  2.6096663  3.0360875  4.6153865  3.7922747  5.91067    6.8218455
 17.132961  11.223179 ]"
attention,any,logit,baseline,original,[94.60877  11.480701 10.784554 15.274063 11.851912]
attention,any,logit,baseline,original,"[91.17849    5.9344177  4.047933   5.8449717  8.72717   13.824159
 14.442863 ]"
attention,any,logit,baseline,original,"[84.93853    3.0680852  3.907063   4.668833   5.4700975  7.851736
  9.630614  14.894353   9.570684 ]"
attention,any,logit,baseline,original,"[76.32149    2.4156957  4.5864515  3.5734289  3.337724   3.198262
  3.1339583  4.9041266  8.592975   9.895417  14.54833    9.492138 ]"
attention,any,logit,baseline,original,[96.062965   8.73261    6.5356545  8.604976  12.923076  11.140721 ]
attention,any,logit,baseline,original,"[79.1642     1.9572119  2.0530617  3.3194518  2.167673   1.6216173
  1.8657207  1.6811421  2.1634104  2.7035413  4.5830374  8.640322
  9.251961  13.996348   8.831294 ]"
attention,any,logit,baseline,original,"[90.15372    3.2126722  3.9182637  4.1068535  6.2981563 10.260058
 15.66759   10.382702 ]"
